Timestamp,Milliseconds,X,Y,Z
2018-11-12 17:50:51,2,3.0373375,1.8251266,8.825985
2018-11-12 17:50:51,12,3.0781987,1.7978859,8.839605
2018-11-12 17:50:51,22,3.0645783,1.7978859,8.853226
2018-11-12 17:50:51,33,3.091819,1.8387469,8.825985
2018-11-12 17:50:51,65,3.1190596,1.7842655,8.839605
2018-11-12 17:50:51,65,3.1190596,1.7842655,8.839605
2018-11-12 17:50:51,65,3.1190596,1.7842655,8.839605
2018-11-12 17:50:51,73,3.1190596,1.7842655,8.839605
2018-11-12 17:50:51,82,3.0645783,1.7978859,8.825985
2018-11-12 17:50:51,92,3.091819,1.8251266,8.894087
2018-11-12 17:50:51,102,3.0373375,1.7978859,8.839605
2018-11-12 17:50:51,112,3.091819,1.7978859,8.866846
2018-11-12 17:50:51,122,3.1054392,1.8387469,8.880466
2018-11-12 17:50:51,132,3.1054392,1.8387469,8.880466
2018-11-12 17:50:51,142,3.091819,1.7978859,8.853226
2018-11-12 17:50:51,152,3.0645783,1.8115063,8.866846
2018-11-12 17:50:51,162,3.0645783,1.8115063,8.866846
2018-11-12 17:50:51,172,3.0645783,1.8115063,8.866846
2018-11-12 17:50:51,183,3.0645783,1.8115063,8.866846
2018-11-12 17:50:51,192,3.0645783,1.8115063,8.866846
2018-11-12 17:50:51,215,3.0645783,1.8251266,8.771504
2018-11-12 17:50:51,215,3.0645783,1.8251266,8.771504
2018-11-12 17:50:51,222,3.0645783,1.8251266,8.771504
2018-11-12 17:50:51,232,3.0781987,1.8115063,8.812365
2018-11-12 17:50:51,247,3.0645783,1.8115063,8.812365
2018-11-12 17:50:51,253,3.0237172,1.7842655,8.798744
2018-11-12 17:50:51,262,3.0373375,1.7842655,8.812365
2018-11-12 17:50:51,273,3.0237172,1.8115063,8.866846
2018-11-12 17:50:51,282,3.0645783,1.8387469,8.812365
2018-11-12 17:50:51,293,3.0781987,1.8387469,8.839605
2018-11-12 17:50:51,302,3.0645783,1.7978859,8.785124
2018-11-12 17:50:51,312,3.0645783,1.8387469,8.839605
2018-11-12 17:50:51,322,3.0781987,1.7842655,8.880466
2018-11-12 17:50:51,332,3.050958,1.7842655,8.853226
2018-11-12 17:50:51,342,3.050958,1.7978859,8.880466
2018-11-12 17:50:51,352,3.050958,1.8251266,8.825985
2018-11-12 17:50:51,362,3.0781987,1.7978859,8.825985
2018-11-12 17:50:51,372,3.091819,1.8115063,8.839605
2018-11-12 17:50:51,383,3.0645783,1.8387469,8.839605
2018-11-12 17:50:51,392,3.0781987,1.8115063,8.825985
2018-11-12 17:50:51,402,3.0645783,1.8251266,8.839605
2018-11-12 17:50:51,412,3.091819,1.7978859,8.866846
2018-11-12 17:50:51,422,3.0645783,1.8115063,8.853226
2018-11-12 17:50:51,433,3.0645783,1.7978859,8.907707
2018-11-12 17:50:51,442,3.091819,1.8115063,8.866846
2018-11-12 17:50:51,452,3.050958,1.8251266,8.825985
2018-11-12 17:50:51,462,3.1054392,1.7978859,8.825985
2018-11-12 17:50:51,476,3.1599207,1.7978859,8.757884
2018-11-12 17:50:51,482,3.1463003,1.7706453,8.785124
2018-11-12 17:50:51,492,3.091819,1.7706453,8.866846
